0,sentences
00:00:00 - 00:00:29 (29 sec),"We love that song, but let's get going. Right? I want to thank you all, and I want to thank, especially, Melania -- she works so hard -- and those moving words, even though it is from your wife, so she's maybe a little bit prejudiced in that way. But I will say that she is a hard worker and has a profound commitment to building a drug-free future for America's children."
00:00:29 - 00:00:59 (30 sec),"We're going to do it too. We're going to do it. Made a lot of progress. Today, I'm honored to join the thousands of leaders -- and that's what you are: leaders -- from across the country for the 2019 Prescription Drug Abuse and Heroin Summit. Very important. Everyone here today is united by the same vital goal: to liberate our fellow Americans from the grip of drug addiction and to end the opioid crisis once and for all."
00:00:59 - 00:01:34 (35 sec),"It's happening. It's happening. That's happening. I want to recognize the founder of Operation UNITE for his unwavering community service, for his incredible commitment, and to address this critical issue: Congressman Hal Rogers. A friend of mine for a long time. And I want to thank you very much, Hal, wherever you may be. Thank you."
00:01:34 - 00:02:00 (26 sec),"Thank you, Hal. Good job. Very dedicated guy. We're also grateful to Operation UNITEâs President and CEO, Nancy Hale. Thank you, Nancy. And thanks also to an outstanding public servant, a man who works day and night. No matter when I need him, he's there. I'll call him at the strangest hours."
00:02:00 - 00:02:24 (24 sec),"He's always there working. Secretary Alex Azar. It's really great, Alex, what you're doing. Thank you. And CDC Administrator, Dr. Robert Redfield, who is helping us to eradicate HIV/AIDS by 2030. And we're there; we're going to be able to do that. People are shocked. Please, stand up, Doctor. So important."
00:02:24 - 00:02:48 (24 sec),"I said that recently in a speech: We will eradicate AIDS by 2030. We've made such incredible progress. And they didnât know what I was talking about. They couldnât believe it. They came up to me after the speech, Doctor. They said, ""Do you mean that?"" That's right -- we're going to have it eradicated by 2030. Thank you very much, Doctor."
00:02:48 - 00:03:10 (22 sec),"Very important. Also with us is the Lieutenant Governor of this great state, a friend of mine and a man who -- he's worked so hard with Brian. The combination of Jeff Duncan and Brian has been pretty much unbeatable. They're doing a fabulous job. Jeff, thank you very much. Jeff, where are you? Jeff? Jeff, thank you."
00:03:10 - 00:03:36 (27 sec),"Stand up, Jeff. Great job. Really great job. And, Mrs. Duncan, thank you very much. And the Georgia Attorney General, Chris Carr. Chris, thank you. Tough guy. And he's in there fighting for us. I know that. As well as members of Congress: Rick Allen, Drew Ferguson, Barry Loudermilk, and Jody Hice."
00:03:36 - 00:04:02 (26 sec),"We have them all. We have them all. Thatâs a pretty unbeatable group. Weâve been doing okay together, havenât we? Huh? Weâve been doing good. To all of the people in this room who serve every day on the frontiers and frontlines of this crisis -- and a crisis it is -- you have earned the gratitude of our entire nation."
00:04:02 - 00:04:33 (31 sec),"You may not even know it, but our nation loves you and they love what youâre doing. Thank you very much. You are the first responders who bring patients back to life. You are the law enforcement officers who bring drug traffickers to justice. You are the doctors, nurses, and counselors who give struggling citizens the hope and solace and strength to build a brighter and brighter future."
