0,sentences
00:00:00 - 00:00:53 (54 sec),"Thank you very much, El Paso. Thank you very much. Thank you. I am very, very thrilled to be here in the great State of Texas -- right on the banks of the legendary Rio Grande, where by the -- well, I don't know, you heard, right? Today we started a big, beautiful wall right on the Rio Grande. Right smack on the Rio Grande."
00:00:53 - 00:01:53 (60 sec),"I love this state and I love the people of this state. We've had a great romance together. You know, that. It's been a great romance and we're only getting stronger together. That's what's happening. Wow, look at all the press back. You believe that? [Audience Boos] This is like the Academy Awards used to be, used to be. They've gone down a long way since they started hitting us a little bit, right?"
00:01:53 - 00:02:38 (45 sec),"They've gone down. That was a long -- that was a long fall, but there they are. Last week I was honored to stand in the House Chamber to deliver the State of the Union -- and I asked both parties to come together to choose greatness for America. Since taking office two years ago our economy is now the hottest economy anywhere on Earth."
00:02:38 - 00:03:16 (39 sec),"Our military, which desperately needed funding, we went $700 billion and $716 billion, is More powerful than ever before. That was not a good situation. It was tired and depleted. Our great warriors were not taken care of. Now they're taken care of again the way they should be. And America is winning again."
00:03:16 - 00:04:11 (54 sec),"Isn't that nice? We're fighting for all Americans, from all backgrounds of every age, race, religion, birthplace, color, creed. We're fighting for ourselves. We're fighting for all Americans. And what is it, America first? Remember, it's America first. [Audience chants USA] Our agenda is not a partisan agenda, although some people say it is. [Audience member calls out We love you] Every once in a while it does become that way."
00:04:11 - 00:04:53 (42 sec),"Right? It's a mainstream, common sense agenda of the American people. It's where we want to be and where we want to go. And despite the fact that the media refuses to acknowledge what we've done and how well we're doing it -- [Audience Boos] -- a new poll just came out as I was coming on and it shows -- I don't know how you can do this, I don't think I've had a good story in years. [Audience laughs]"
00:04:53 - 00:05:17 (24 sec),"I don't get good -- I used to get great press until I decided to run for office. And we have done together, an incredible job. And a new poll just came out today Rasmussen, one of the most respected polls, one of the polls that got the election right, so I have to remember that, you know what the number is, 52 percent, with no good news."
00:05:17 - 00:05:50 (33 sec),"Explain that. Explain that. Explain that. How do you get that when you don't get good press? I guess 93 percent of the stories are negative. No matter what we do, they figure out a way to make it bad. [Audience Boos] Like, I'll give you a quick example. When I came in, North Korea was -- it looks like it was going to war."
00:05:50 - 00:06:22 (31 sec),"You know that. It was going to happen, bad things. Now you have no missile launches. You have no rocket testing. You have no nuclear testing. I have a good relationship, maybe even a great relationship. We have tremendous sanctions on North Korea. But we have our hostages back. We have -- remains are coming back."
00:06:22 - 00:06:47 (25 sec),"Remains. And our presidents have been dealing with North Korea for many, many decades, many, many decades. And on a nuclear way over the last 20, 30 years and all I hear is, ""Can't you move faster?"" You know what? I left Singapore 15 months ago, they've been negotiating for 85 years or something. So now their complaint is, ""What's taking him so long?"" I heard one of our great geniuses from a previous administration telling me how to negotiate with North Korea when they got taken advantage of like nobody I've ever seen before. [Audience Boos]"
