0,sentences
00:00:00 - 00:00:53 (54 sec),"Hello, Pennsylvania. Hello, Pennsylvania. Great people. Incredible people. And I'm thrilled to be here tonight in Erie, Pennsylvania, with thousands of loyal, hard-working, and beautiful American patriots. That's what you are. Before we begin, I want to send our thoughts and prayers of our entire nation to everyone in the path of Hurricane Michael, especially in the Florida panhandle, where it's hitting and hitting hard."
00:00:53 - 00:01:29 (35 sec),"It's a big one, one of the biggest we've ever seen. All of Pennsylvania, all of America sends its unwavering love and support. My administration is working closely with Florida Governor Rick Scott and the governors of North Carolina, South Carolina, Alabama, Georgia, anybody else affected, to provide the full resources and steadfast support of our federal government."
00:01:29 - 00:02:00 (31 sec),"We are... We're all set to go. We're going to follow it right in. We have massive amounts of water and food. And we have the electric companies, thousands and thousands of electrical workers, they're going to follow it as it leaves. We're going to follow right behind. Help the situation. Everyone's working in close coordination with local officials."
00:02:00 - 00:02:32 (32 sec),"And I'll be traveling to Florida very, very shortly, so we just want to wish them all the best. And Godspeed. Godspeed. God bless you all. And you know -- and I speak because so many of my friends are here with us in Pennsylvania, we will spare no effort, no expense, no resource to help these great fellow citizens of ours that are going through a tough time right now."
00:02:32 - 00:03:15 (42 sec),"We know when Americans face hardship, we support each other, we stand with each other, we care for each other, and we will always pull through. It will be successful. We will always be successful at what we do. Florida, Georgia, Alabama, North Carolina, South Carolina, again, two weeks ago, and now they're going to get a lot more water coming in. That's what they don't need is water right now."
00:03:15 - 00:03:49 (35 sec),"These are great people. Tonight we are going to discuss the extraordinary achievements we've made for our fellow citizens in less than two years' time. You know, it's been less than two years. All those beautiful red hats, Make America Great Again... And we will discuss the next steps we must take to protect this amazing progress and to continue building an even greater future for all Americans."
00:03:49 - 00:04:32 (43 sec),"That's what's happening. You look at what's going on. It's been incredible. I said the other night -- and you know that these folks will dispute us if we're wrong. But this has been the greatest revolution ever to take place in our country. Here we are. The greatest ever. I remember, during the primaries and prior to the election, they were saying, wow, this is -- this is something not -- there's been nothing like this since Ronald Reagan."
00:04:32 - 00:04:54 (22 sec),"Then it kept going and going and going, and then we actually won. In Tennessee, I remember a great Congressmen Duncan, they said, he said, sir, early voting. He said, sir, they're coming from the hills, the valleys, people that haven't voted for a long time because they didn't want to vote for the people that were running for office."
00:04:54 - 00:05:33 (39 sec),"And they've got Trump banners and Trump hats and Trump tattoos. I've never seen anything like it. All about you. And he was right. [Audience Chants USA] And then after that, they said, well, we have to go back further than Ronald Reagan, so they talk about Andrew Jackson and said, let's see, the 1830s, that's a long time."
00:05:33 - 00:06:04 (32 sec),"And then they said on election night that this superseded even Andrew Jackson. So you won it. It's yours. And we're doing well. We're doing well. We are producing and doing even better than we said we would. It's been amazing. This election is about your families, your values, and what kind of country you want to leave for your children."
00:06:04 - 00:06:54 (50 sec),"This election is about keeping America safe, keeping America strong, keeping America proud, keeping America free. And this has been a historic week for our nation. And you know what I'm talking about. You know, all my life I've heard that a president's most important decision is who he or she picks for the United States Supreme Court."
00:06:54 - 00:07:41 (47 sec),"And as you know, on Monday night, we proudly swore in the newest member of the United States Supreme Court, Justice Brett Kavanaugh. Justice Kavanaugh now sits alongside Justice Gorsuch... to defend your rights, your Constitution, and your God-given freedom. Two great men. They will go down as great, great justices of the Supreme Court."
00:07:41 - 00:08:25 (44 sec),"You watch. What the radical Democrats did to Brett Kavanaugh and his beautiful family is a national disgrace. It's a disgrace. What they did was a disgrace. You look at Cory Booker, the way he talked, and then you look at what he did. You look at Senator Dianne Feinstein, what she did. The disgraceful behavior."
00:08:25 - 00:09:19 (54 sec),"The disgraceful leaking of documents. You look at what they did. You look at the false charges. You look at the false accusations. It was a disgrace. It was a disgrace! And people were saying, thank you, sir, for sticking and thank you for not giving up. You know what? I never even thought of it, folks. I never even thought of it. Never even thought of it. But on November 6th, you can vote to reject the Democrats' shameful conduct by electing Republican House and, really, we need it badly, we need these votes, a Republican Senate."
00:09:19 - 00:10:03 (44 sec),"Under Republican leadership, America is booming, America is thriving, and America is winning like never before, because we are finally putting America first. Just two days ago, the unemployment rate has fallen to the lowest level in 50 years. It was just announced that manufacturing confidence is at an all-time high."
00:10:03 - 00:10:21 (18 sec),"Historic. Big thing, confidence. You remember the previous administration? They said, oh, you can't bring back manufacturing jobs. Really? You can't bring back... That was wrong. Remember they said you'd need a magic wand. Well, we've got -- I guess we have, right -- we have a magic wand. And those are our great jobs."
