0,sentences
00:00:00 - 00:00:23 (24 sec),Please. Thank you very much. You can sit. [Laughter] It's great to be with you. And I want to thank Chief Dekmar for that wonderful introduction and for your lifetime of distinguished service. A very special friend of mine.
00:00:23 - 00:00:52 (29 sec),"I'm thrilled to be here in the great state of Florida, with the incredible men and women of law enforcement. On behalf of all Americans, I want to express our eternal gratitude for what you do every single day to protect our families, defend our streets, and take down criminals. And what you do is keep America safe, and nobody does it better than you. Thank you very much. Thank you."
00:00:52 - 00:01:12 (20 sec),"And I also want to thank your amazing families. Because you know that, without them, you couldn't do it. And they're here. And they are indeed fantastic people. So thank you to the families. Appreciate it very much."
00:01:12 - 00:01:43 (31 sec),"We are thrilled to be joined today by a true friend of law enforcement, Governor Rick Scott. And I will tell you that Rick has been incredible when it comes to law enforcement. Anytime you need funds from the federal government, he's on the phone. ""Mr. President, we need more funds."" ""What's it for this time, Rick?"" [Laughter] ""It's for law enforcement."" And I say, ""You got them."""
00:01:43 - 00:01:57 (14 sec),"And speaking of that -- oh, you got them. You got them. When law enforcement wants it -- and they always -- they're reasonable. They want it. And what you do is so incredible."
00:01:57 - 00:02:04 (8 sec),"So I just want to say, Rick is a tremendous governor, and he is your biggest fan. So thank you very much."
00:02:04 - 00:02:19 (15 sec),"And also, another one of your big fans, I will tell you that, is Attorney General Pam Bondi, who is with us today. And thank you, Pam. Thank you very much, wherever you may be. She's in this big room someplace. Thank you. Incredible woman."
00:02:19 - 00:02:40 (21 sec),"Thank you as well to our Deputy Attorney General Rod Rosenstein for being here. Flew down together. The press wants to know, ""What did you talk about?"" [Laughter] But we had a very good talk, I will say it. That became a very big story, actually, folks. [Laughter] We had a good talk."
00:02:40 - 00:03:18 (37 sec),"As Hurricane Michael nears landfall, we are working with state and local officials in Florida to take all necessary precautions. And we urge all residents to be prepared and to heed local officials. I told Rick Scott that we are ready for you. We have already briefed FEMA, and FEMA is getting prepared. And it looks like a big one. Can you believe it? It looks like another big one. But we've handled them well. We have handled them very well. And that includes the one that just left us in Florida. It never ends."
00:03:18 - 00:03:31 (14 sec),"But we're all prepared, and hopefully it won't be as bad as it's looking. It looked, to me -- looked, a couple of days ago, like it was not going to be much. And now, it's looking like it could be a very big one. So we're prepared. And good luck."
00:03:31 - 00:03:55 (23 sec),"Today, I also want to extend my very special thanks to Orlando Chief John Mina and the entire Orlando Police Department for hosting us in this great city. John. Where is John? Thank you, John. Great job. Great city. Safe city, too, John. Thank you very much. Great job."
00:03:55 - 00:04:26 (32 sec),"I also want to thank the board of IACP, and congratulations to your incoming President, Chief Paul Cell. Where is Chief? Chief. Good, Chief. I have a lot of respect for the Chief; I know the Chief. That means I guess I have to be here next year, Chief. Is that right? [Laughter] Looking like that, right? That's okay. For you guys, anything I can do, I'll do."
00:04:26 - 00:04:54 (28 sec),"Very importantly -- I want to recognize our law enforcement partners from around the world who have traveled here to share their experiences and to strengthen the vital cooperation that we all practice together. We have great, great cooperation all over the world. We deeply value your friendship and your partnership, and thank you very much for being here. Thank you."
00:04:54 - 00:05:11 (16 sec),"This year, we proudly celebrate the 125th anniversary of the International Association of Chiefs of Police. It's a great group."
00:05:11 - 00:05:35 (25 sec),"Today, I stand before you, as the President of the United States, to tell you that my administration will always honor, cherish, and support the men and women in blue. And we are proud to do it."
00:05:35 - 00:05:48 (13 sec),"Working together, we have achieved extraordinary progress in the fight against violent crime. We understand that reducing crime begins with respecting law enforcement."
00:05:48 - 00:06:01 (13 sec),"For too many years, we have watched politicians escalate political attacks on our courageous police officers. And I've never seen it more than over the last few years. It's disgraceful."
00:06:01 - 00:06:29 (28 sec),"Politicians who spread this dangerous anti-police sentiment make life easier for criminals and more dangerous for law-abiding citizens. And they also make it more dangerous for police. And it must stop, and it must stop now."
00:06:29 - 00:07:07 (39 sec),"Before I took office less than two years ago, our nation was experiencing a historic surge in violent crime. In 2015, 2016, an additional 128,000 violent crimes were committed nationwide compared to the two previous years. That's a tremendous number of additional crime. Over the same period, we witnessed the steepest two-year consecutive increase in murders in nearly half a century."
00:07:07 - 00:07:32 (24 sec),"But we are turning that tide around very rapidly, as you all know in this room. We are taking back our streets from drug lords, gangs, and crimes. We are being tough. We're being smart. By the end of this year, murders in major cities are estimated to drop by close to 10 percent from their levels in 2016."
00:07:32 - 00:07:53 (21 sec),And I have directed the Attorney General's office to immediately go to the great city of Chicago to help straighten out the terrible shooting wave. We want to straighten it out. We want to straighten it out fast. There's no reason for what's going on there.
00:07:53 - 00:08:21 (29 sec),"I've told them to work with local authorities to try to change the terrible deal the city of Chicago entered into with ACLU, which ties law enforcement's hands; and to strongly consider stop-and-frisk. It works, and it was meant for problems like Chicago. It was meant for it. Stop-and-frisk."
00:08:21 - 00:08:47 (25 sec),"And Rudy Giuliani, when he was mayor of New York City, had a very strong program of stop-and-frisk. And it went from an unacceptably dangerous city to one of the safest cities in the country -- and, I think, the safest big city in the country. So it works. It's got to be properly applied, but stop-and-frisk works."
00:08:47 - 00:09:20 (34 sec),"The crime spree is a terrible blight on that city, and we'll do everything possible to get it done. I know the law enforcement people in Chicago, and I know how good they are. They could solve the problem if they were simply allowed to do their job and do their job properly. And that's what they want to do. So, Chicago, we're going to start working with you, as of today. Thank you."
00:09:20 - 00:09:32 (11 sec),"In the Fiscal Year 2018, my administration brought charges against more federal firearm defendants and more violent criminals than ever before in the history of our country."
00:09:32 - 00:09:43 (11 sec),"And to help former inmates become law-abiding and productive members of society, we are also working on a prison reform bill -- a very, very big and comprehensive one."
00:09:43 - 00:10:02 (18 sec),"And the best thing that could happen, I think we've already done: We have record numbers of jobs right now in the United States. There has never been a time when more people are working in our country than right now."
00:10:02 - 00:10:21 (20 sec),And our unemployment numbers in almost every category are at record lows. They are record lows. African American -- best in history. Asian American -- best in history. Hispanic American -- best in history. We are doing incredibly well as a -- as an economy.
00:10:21 - 00:10:40 (19 sec),"And that's a great thing when you talk about people coming out of prison -- unable to get a job, totally unable to get a job; it's a hopeless situation. Now, they're getting jobs -- to a certain extent and to a large extent because we're doing so well, and employers are forced to take people that they maybe wouldn't have done."
