0,sentences
00:00:00 - 00:00:56 (56 sec),"So this is supposed to be a Democrat state. I don't think so. I don't think so. I don't think so. They have a very big surprise coming, don't you think? Very big surprise. Hello, Minnesota. Great state. Thank you. And I'm thrilled to be back in the heartland with thousands of hard-working and truly great American patriots."
00:00:56 - 00:01:35 (39 sec),"You know that. In less than two years of Republican leadership, America has achieved the biggest comeback in our history. True. Jobs are booming, wages are rising and the number of Americans working right now today has reached an all-time high in our history. We are defending our great Second Amendment... taking care of our wonderful veterans, who we love and respect... and our military will soon be more powerful than ever before by far."
00:01:35 - 00:02:23 (48 sec),"But the radical Democrats want to take it all away. They want to destroy our prosperity. We've had great prosperity. You see what's happening. You don't want your 401(k)s being cut in half, and if you vote Democrat, that's what's going to happen. They want to erase our gains and plunge our country into a nightmare of gridlock, poverty, chaos and, frankly, crime, because that's what comes with it. So we're just five weeks away from one of the most important congressional elections in our lifetime."
00:02:23 - 00:02:58 (36 sec),"You see what's happening in Washington right now so you know how important it is. You see what's going on. By the way, look back there, look at all that media. Look at all that media. If we could ever get them on our side, we'd win for a thousand years -- for a thousand years. On Tuesday, November 6th, I need your vote, I need your support to stop radical Democrats and to elect proud Minnesota Republicans."
00:02:58 - 00:03:57 (59 sec),"And we have some great ones right now up for election. This week I announced another historic victory for our nation. We're replacing the job-killing disaster known as NAFTA... with a brand-new U.S.-Mexico-Canada trade agreement. It's called the USMCA. That works, right? USMCA. I didn't want to use NAFTA. That has been a disaster for our country: 50,000 plants and factories moving out, millions and millions of jobs lost, one of the worst trade deals ever."
00:03:57 - 00:04:23 (26 sec),"I actually know one that's worse, but I won't tell you, because we're going to be doing something with that too. But NAFTA's been one of the great disasters of all time and now we have a great and fair deal. We have a fair deal, and that's what we want. Great for our workers and really great for our farmers."
00:04:23 - 00:04:44 (21 sec),"It's about time. We're opening it up. The barriers are coming down. And this is tremendous for Minnesota. This is tremendous for Minnesota. And you've waited for a long time. And by the way, we've got plenty coming. You know what's going on with China? They want to make a deal. They want to make a deal. But I say they're not ready yet."
00:04:44 - 00:05:08 (24 sec),"They want to make a deal, but I told them, ""You want to make a deal, but you're not ready yet, so we'll talk later."" We have secured landmark protections for the medical innovations being produced right here in your great state. You have great medical in your state. And we've removed unfair trade barriers for our proud Minnesota farmers and our dairy producers like has never, ever been done before in our country."
00:05:08 - 00:05:31 (23 sec),"America is winning again and America is being respected again all over the world right now, and we're going to keep it that way forever. It's called America first. [Audience Chants USA] You even have people sitting behind the flag. That's... It's OK. Great people. And by the way, you got thousands of people outside and you have thousands of people who I just saw in a lovely room, but I said, ""Next time, you have to get here a couple of days earlier."" Right?"
00:05:31 - 00:05:53 (22 sec),"The only reason to vote Democrat is if you are tired of winning. That's really it. Because you're winning. You're winning a lot. There's never been an administration that in already less than two years -- but can you believe we all did this together? We're coming up on two years, can you believe it? There has never been an administration, with you, that's done so much in so little time."
00:05:53 - 00:06:15 (22 sec),"Two years. No administration's come close. None has come close. And we've got a lot coming. If Democrats take over Congress, the stock market will plummet. They will -- it will plummet. You know, there's a reason for it. Every day we hit new highs, new highs. I think we had 103 new highs. Think of it. All time."
00:06:15 - 00:06:49 (34 sec),"That means jobs. To a lot of people, it means great 401(k)s. It means great -- but to a lot of people, it means jobs. It's jobs. Your 401(k)s will be devastated if Democrats take control and our political system will grind to a really messy halt. And you see what's going on in Congress right now with one of the most respected people, potentially, hopefully Supreme Court Justice Brett Kavanaugh."
00:06:49 - 00:07:38 (49 sec),"Man... [Audience Chants We Want Kavanaugh] What they're putting him through, and his family. His family is incredible. What they're putting them through. Democrats want to raise your taxes. They want to restore job-killing regulations. There's no administration ever that's cut as many regulations. And we have regulations."
00:07:38 - 00:08:12 (34 sec),"We want clean water. We want crystal, clear air. We want beautiful environment. We want. But you don't have to have regulation that makes it impossible for our country to compete with other countries, and that's what we're doing. The Democrats want to cripple law enforcement. They want to get rid of ICE. How about ICE? ICE, they're tough and they love our country, but you need tough ones."
00:08:12 - 00:08:35 (23 sec),They're tough. They love our country. They get rid of MS-13. They get rid of these gangs. You wouldn't believe it. They throw them the hell out or they bring them to jail. The Democrats embrace socialism. We're not going to be Venezuela -- you see what's happening -- and open our borders to deadly drugs and violent gangs.
00:08:35 - 00:08:57 (22 sec),"And I've said it and I'll say it as many times as you want to hear it, and it's because of their policy: The Democrats are truly the party of crime, because that's what happens. Open borders, that's what happens. And the Dems are willing to do anything to hurt anyone to get the power they so desperately crave."
00:08:57 - 00:09:13 (16 sec),"All they know is how to do -- you know what the words are -- they want to resist, they want to obstruct, they want to delay, demolish, they want to destroy. That's what happens. That's what happens. And just take a look at what's going on. Democrats have been trying to destroy Judge Brett Kavanaugh... since the very first second he was announced."
00:09:13 - 00:09:59 (46 sec),"And he was announced for one simple reason: He is an incredible intellect, an incredible person, an incredible talent. He's been an incredible judge. Because they know that Judge Kavanaugh will protect, uphold and defend the Constitution of The United States as written. But all you have to do is look at the polls over the last three or four days and it shows that their rage-fueled resistance is starting to backfire at a level that nobody has ever seen before."
00:09:59 - 00:10:21 (22 sec),"Nobody's ever seen it. Up 11, up 10, up 14. Nobody's ever seen this before. We love it. Do we love it? We love it. Because people see what's happening and they don't like it. The people of Minnesota and the people of America are going to reject the Democrat politics of anger and destruction, and they are going to vote to keep making America great again, greater than ever before."
00:10:21 - 00:10:47 (26 sec),"And in two years, they are going to vote to keep America great, right? Keep America great. We're almost at that point already, but I can't -- I love ""Make America Great,"" but I can't use it in two years. They'll say, ""What have you been doing?"" right? ""What have you been doing?"" Oh, boy, I tell you, it's been a while."
00:10:47 - 00:11:15 (27 sec),"We have had fun, right? We've had fun. This is -- and they don't even correct me when I say it. They don't even correct me. Fake news media. But this is... I mean, look at this stadium. Look, look. As an example, thousands of people in a room next door, thousands and thousands of people outside trying to get in, this big stadium is packed, always."
00:11:15 - 00:11:45 (30 sec),"In all fairness to Minnesota, in Las Vegas, in Missouri. You know in Missouri... [Audience Member calls out] Thank you. I love you too, but you're not my type. No, but -- hey, Missouri. They had 44,000 people outside of a big arena. 44,000 people. Las Vegas. We went to -- West Virginia was incredible. West Virginia."
00:11:45 - 00:12:20 (35 sec),"Tennessee. Tennessee, and you see how far Tennessee went up over the last couple of days. It's incredible. Missouri, wow, have we done great. Josh, Josh. So we're thrilled to be joined by a number of your terrific Republican leaders and I just want to introduce somebody that's been such an incredible help to me in getting your tax cuts, I mean, not so bad."
00:12:20 - 00:13:01 (41 sec),How about this? How about this? The Dems want to raise your taxes. We want to lower your taxes. We don't want crime. Crime's OK for them. They want open borders. How the hell do we not win this thing in a landslide every time? How do you... They're for crime and high taxes. We're for low taxes and no crime.
