0,sentences
00:00:00 - 00:02:00 (120 sec),"Hello, Kansas, thank you very much. Hello, Kansas. Thank you. And I'm thrilled to be here with all of my friends on this truly historic night. This is a historic night. I stand before you today on the heels of a tremendous victory for our nation, our people, and our beloved constitution. Just a few hours ago the U.S. Senate confirmed Judge Brett Kavanaugh to the United States Supreme Court, and I proudly signed the judge's commission aboard Air Force One just before landing."
00:02:00 - 00:02:33 (33 sec),"And this Monday night, at 7:00 pm in the East Room of the White House, We will perform the swearing in ceremony for soon-to-be Justice Kavanaugh, a great man. And he will sit proudly alongside Justice Neil Gorsuch, who's doing a great job to uphold your sacred rights and to defend your God-given freedom."
00:02:33 - 00:03:15 (42 sec),"And I want to thank our incredible Republican senators for refusing to back down in the face of the Democrats, shameless campaign of political and personal destruction. Since the moment Brett Kavanaugh was senate, and you remember this, we made an announcement and since right from the moment we announced, radical Democrats launched a disgraceful campaign to resist, obstruct, delay, demolish, and destroy, right from the beginning."
00:03:15 - 00:03:39 (24 sec),"Brett Kavanaugh is a man of great character and intellect. He's a totally brilliant scholar, who has devoted his life to the law, he is a loving husband, a devoted father, and a faithful public servant, and he always has been. What he and his wonderful family endured at the hands of Democrats is unthinkable, unthinkable."
00:03:39 - 00:04:11 (32 sec),"In their quest for power, the radical Democrats have turned into an angry mob, you saw that today with the screaming and the shouting, not from the 200 people or less that were --  You know what? Those people, they couldn't fit in the front row, look what we have here today. They threw away and threw aside every notion of fairness, of justice, of decency and of due process."
00:04:11 - 00:04:45 (34 sec),"Nobody's seen anything like it. What each of you will have a chance in just four weeks to render your verdict on the Democrats conduct at the ballot box. Got to vote, got to vote.  On November 6th, you will have the chance to stop the radical Democrats, and that's what they've become, by electing a Republican House and a Republican Senate. We will increase our majorities. We need more Republicans, we need more Republicans."
00:04:45 - 00:05:30 (45 sec),"Over the past few weeks, every American has now seen the profound stakes in the upcoming election. You now see it. We have been energized, we have been energized. if Democrats are willing to cause such destruction in the pursuit of power, Just imagine the devastation they would cause if they ever obtained the power they so desperately want, and Greg. You'll going to have other Supreme Court justices places to be filled it could be three, it could even be four, it could be a lot."
00:05:30 - 00:06:06 (36 sec),"And if you allow the wrong people to get into office, things could change, they could change, and they could change fast. And we're not going to let that happen, we can't let that happen. It could go very quickly, it can change very fast, we can't let that happen. You don't hand matches to an arsonist and you don't give power to an angry leftwing mob, and that's what they've become. The Democrats have become too extreme and too dangerous to govern."
00:06:06 - 00:06:33 (27 sec),"Republicans believe in the rule of law, not the rule of the mob. We're doing a hell of a job of doing it, we're draining the swamp and we want to defeat the Democrats conducively. So under Republican leadership, America is booming, America is thriving, America is winning because we are finally putting America first, we are putting America first."
00:06:33 - 00:07:08 (35 sec),"Yesterday it was announced that unemployment has fallen to 3.7%, the lowest  unemployment rate in 50 years, lowest in 50 years. We've created nearly 600,000 jobs in the last three months alone, think of that, 600,000, and if I ever said that, when I was campaigning, the fake news media would go, I'd say, ""Impossible."" They are fake."
00:07:08 - 00:08:17 (69 sec),"Manufacturing confidence is at an all-time high. Confidence, very important, all-time high. And we have the best economy in the history of our country, the best.We're taking care of our veterans, protecting our great seniors, and rebuilding America's military might like it hasn't been built before. But if Democrats take control, they will try to plunge our country into gridlock poverty and chaos, and that's what's going to happen, it can change."
00:08:17 - 00:08:53 (35 sec),"The Democrats want to significantly raise your taxes. Essentially, they want to impose socialism, Venezuela, dismantle law enforcement and eliminate our borders. They want to have nice, open borders, no way. Bill. The Democrats have become the party of crime, they have become the party of crime, think of it. Republicans are the party of law and order, and justice."
00:08:53 - 00:09:18 (25 sec),"And we really have become, even more so, than ever before the party of opportunity and wealth, and that's what's happening with creating wealth for everybody. Whether it's small businesses big businesses or people wanting great jobs, that's what's happening. And you know wages? Right now, for the first time in 19 years, wages are going up for people, and jobs. you can choose the job you want for the first time. Many years."
00:09:18 - 00:09:45 (28 sec),"So we are thrilled to be joined by a number of your state's terrific Republican leaders. And  I have to tell you that I wasn't supposed to be here because, you know, this is such a big day. This is such a big day. I was supposed to call you, they said, ""Do you mind calling Kris Kobach and Steve Watkins? Do you mind telling them?"
