0,sentences
00:00:00 - 00:01:08 (68 sec),"Hello, Iowa. It is great to be back in beautiful Council Bluffs with thousands of hard-working, great, great American patriots. Thank you.  This is truly a historic week for America.  And you know what I'm talking about. Of course, yesterday at the White House, we proudly swore in the newest member of the United States Supreme Court, Justice Brett Kavanaugh."
00:01:08 - 00:01:38 (31 sec),"And today, Justice Kavanaugh took his seat alongside of Justice Gorsuch to defend your rights, your Constitution, and your God-given freedom.  And I want to thank our incredible Republican senators for refusing to back down in the face of the Democrats' shameful campaign of political and personal destruction."
00:01:38 - 00:02:30 (52 sec),"I especially want to thank an Iowa legend, whose backbone and leadership made this great victory possible, Chairman of the Senate Judiciary Committee, a very tough cookie, Chuck Grassley. Thank you, Chuck.  Thank you. Great man. Great person. From the very first minute Brett Kavanaugh was nominated, radical Democrats were on a mission to resist, obstruct, delay, demolish, and destroy -- they wanted to destroy that man, because they want to destroy me, too, but that's OK.  Me, we understand."
00:02:30 - 00:02:56 (26 sec),"Him, how can you do that? They want to destroy everything. That's all they're good at, resisting. Their whole campaign is to resist. Ours is to create.  What the Democrats did to Brett and his beautiful family is a national embarrassment, a national disgrace. You see what's happening and you see where they're coming from."
00:02:56 - 00:03:26 (30 sec),"You see. Including the phony protestors that got paid...  ... and now they want to protest because they didn't get paid yet, and they want their money.  So now they're going to really protest.  You see, that's a real protest. But in just four weeks, you will have the chance to render your verdict on the Democrats' outrageous conduct."
00:03:26 - 00:03:56 (29 sec),"On November 6th -- and you can do early voting in Iowa. Go. Just vote. Get it over with.  Vote. Go vote. Early voting started today. Right? Today. Early vote. Go do it immediately. Then you don't have to listen to me any more tonight.  In fact, if you did early voting already, go home. Have a good time. Thank you."
00:03:56 - 00:04:47 (51 sec),"We'll let some additional people from outside in, right? Nah, that's not going to happen. Got a lot of people outside. Look at this place. You believe it?  It never changes. Could I ask the cameras to just take a swoop of this room, please? Do you mind? Come on.  They don't like to do that. They don't like to -- they like to keep that camera dead set on me and about six people in the background."
00:04:47 - 00:05:10 (23 sec),"All wearing hats saying ""Make Farmers Great Again.""  And we're doing it. I shouldn't -- we're a little bit early. I shouldn't say it now, but we're going with E15 year round, OK?  I made that promise to you during the campaign. I made that promise to you during the primaries. Remember? I made that promise."
00:05:10 - 00:05:43 (34 sec),"Promises made, promises kept.  Right? On November 6th, you have the chance to stop the radical Democrats by electing a Republican House and a Republican Senate. So, we need the votes.  We have a majority that if one person has a cold, we have to hold the vote. I mean, can you -- we don't have -- it's like we hardly have a majority."
00:05:43 - 00:06:06 (23 sec),"We need votes.  Early voting is now underway. And you know that. You got to get out. Early voting, go out now and vote. Leave here now immediately. Is it still open? Yes, get the hell out of here. Early voting.  And in their lust for power, the Democrats have become totally unhinged. They've gone -- they've gone crazy."
00:06:06 - 00:06:49 (43 sec),"No, they've gone crazy. Now the Democrats -- or as some people would says, the Dims -- the Dims -- who says that? Lou Dobbs, the great Lou Dobbs. He says that, right? Sean Hannity says that. The Dims. Sean Hannity.  Judge Jeanine says that, doesn't she?  Laura -- Laura, how good has Laura been, right?  We got a lot of good people."
00:06:49 - 00:07:21 (32 sec),"Do we like -- do we like Tucker? I like Tucker.  He says that a lot. How about Steve Doocy? How about Ainsley, Brian? We got a lot of great friends.  The Democrats are even talking about doing really bad things now to Justice Kavanaugh. You know what they're talking about? And packing the courts with radical judges to overrule the will of the American people."
00:07:21 - 00:08:00 (39 sec),"It's not going to happen, folks. Not going to happen.  Last week, they're saying we'll impeach him. Impeach him for what? For what?  Besides that, I have to go first, right? Don't I have to go...  Even though we've done nothing wrong, other than create one of the greatest economies in the history of our country...  That will be interesting."
00:08:00 - 00:08:42 (42 sec),"You get impeached for having created the greatest economy in the history of our country. The best job numbers in the history of our country, just about, right? The greatest trade deals, which we've just finished, in the history of our country.  The biggest regulatory cuts by far already in less than two years, bigger than any other president during their entire term or terms...  The biggest tax cuts and reforms -- you got a lot of money back -- in the history of our country."
00:08:42 - 00:09:15 (33 sec),"But the Democrats have become too extreme. And they've become, frankly, too dangerous to govern. They've gone wacko.  They've gone so far left that they consider Pocahontas to be a rational person. No, it's crazy. Elizabeth Warren.  Oh, I hope she runs. I hope she runs. Then we can finally get down to the fact as to whether or not she has Indian blood."
00:09:15 - 00:09:41 (27 sec),"So far, she's not doing too well. Her mother says she has high cheekbones. That's why.  And she's gotten a lot of advantages by falsely claiming what she's claiming. So I hope she's one of the finalists. But I don't want to knock too many of them, because maybe by doing I'll knock them all out early and I'll actually end up somebody that's -- like, that's got some talent."
00:09:41 - 00:10:12 (31 sec),"That wouldn't be good. So we have to be nice and quiet.  I should be really quiet, really, really, quite on the bad ones. On the bad ones.  Like, we won't talk about Cory Booker, who ran Newark into the ground.  We won't talk about Da Nang Dick...  ... who tried to convince people for 15 years that he was a great war hero."
00:10:12 - 00:10:33 (21 sec),"They were going down left. They were going down right.  Right, you know who that is? Blumenthal. He said they were going on my left, they were going down -- he was in Da Nang Province. Except the one problem. It's hard to be there, because he was never in Vietnam, but these are minor details.  And then he gets up. He goes, I demand total honesty and transparency."
00:10:33 - 00:10:50 (18 sec),"I'm saying, what's -- he wants honesty. Great war hero. He's a great hero.  Yeah. Right, how about -- how about Senator Feinstein? That's another beauty.  That's a beauty. Did you leak the documents? Well, what, what? No, I didn't do it. Did we leak? Did we leak?  No. No. No, we didn't -- did you ever see -- no, she goes no. He just said, no, we didn't leak."
00:10:50 - 00:11:52 (62 sec),"[Audience chants Lock her up]  And I think they're talking about Feinstein. Can you believe that? Now, was that the worst body language, honestly? In other words, did she leak it? A hundred percent.  No, no, I don't want to get sued. Ninety-nine percent. See, now I can't get sued. Now I can't get sued.  You don't hand matches to an arsonist, and you don't give power to an angry left-wing mob."
00:11:52 - 00:12:26 (33 sec),"And that's what the Democrats are becoming.  They would turn our country so fast into Venezuelan -- and Venezuelan is not doing too well, folks. If you want to drain the swamp, you must defeat the Democrats, so you're going to have one hell of a swamp.  Under Republican leadership, America is booming, America is thriving."
00:12:26 - 00:12:52 (26 sec),"And America is winning again like never before, because we are finally putting America first.  The national unemployment rate has fallen to 3.7 percent. You believe that one?  3.7 percent, the lowest in 50 years, five-oh, 50. And it's going better. It's going better. Iowa's unemployment rate is 2.5 percent, among the lowest in its history that we can find."
00:12:52 - 00:13:01 (9 sec),"And by the way, we need people helping you. We need people coming in. We need people to run the farms. We're going to have people coming in. But they're going to come in legally, and they're going to come in through merit, through merit. It's called the merit system. [Audience chants Build the wall]  And we've built the wall -- we're building the wall."
00:13:01 - 00:13:51 (50 sec),"We've started. A lot of it's getting done right now. We got $1.6 billion. Another $1.6 billion. And another $1.6 billion. I want 'em to give us the money so I can build it -- we can build it in a year. But we've done a lot of it. It's going up right now.  But, you know, the Democrats feel that that's one thing we really want, we got our money for the military, $700 billion."
00:13:51 - 00:14:11 (20 sec),"We got our money to help us out with the opioid crisis, $6 billion.  But when it comes to the wall, they feel we want it so badly, but we keep getting big chunks and we keep building that wall. And it's under construction. And we're going to get it finished sooner than anyone would believe. And if you could get me some Republicans, we'll get it done quickly."
00:14:11 - 00:14:34 (24 sec),"Quickly.  I mean, when I have to ask Nancy Pelosi and Maxine Waters...  ... Maxine Waters, can we build a wall, Maxine? No, I don't want that wall built. She doesn't want a wall built. Can we build it? How about -- how about Pelosi? We want to build a wall. No, I don't want that wall built.  Look, Iowa manufacturing jobs are growing at the fastest rate in more than 20 years."
00:14:34 - 00:15:09 (35 sec),"And if you remember...  ... the last administration, without mentioning names, the last administration said manufacturing jobs, they're dead. They're gone. We have 600,000 have come back since the election.  Six hundred thousand. More Americans are now working than ever before. Think of that. At this point today, this day, we have more Americans by far working -- right now working than have ever worked in our country before."
00:15:09 - 00:15:33 (24 sec),"Isn't that great? That's a big number. That's a big number.  Today I kept another major promise, as I said, to the people of Iowa and Nebraska and other countries.  Wait. Hey, wait a minute. I got to do that again. I got to do that again. I love Nebraska. You know we won Iowa, we won Nebraska...  But they said, sir, you're speaking in Iowa, but we'll have some people from Nebraska there."
00:15:33 - 00:15:56 (23 sec),"What the...  Like I said, Nebraska...  OK, so -- and we have both. By the way, we have both great governors here.  And I did that just in case. So, ready? I'm going to go Iowa first, then I'm going to go Nebraska. I just want to see who the hell I'm speaking to.  OK? Because that was a little shocking what I just heard."
00:15:56 - 00:17:09 (73 sec),"So I'm going to go -- I'm just curious, OK? Iowa.  Nebraska.  Unbelievable. So they said, sir, you're speaking in Iowa, there may be a few people coming in from Nebraska. I don't think that's right. Great going, fellas. Great going. I'll tell my staff, great going, fellas.  Doesn't matter. We love both. Who cares, right?"
00:17:09 - 00:17:31 (23 sec),"Who cares? We love 'em.  All I know is you've got a lot of farmers in both, right?  And my administration is protecting ethanol, all right? That's what you want to hear.  Today, we are unleashing the power of E15 to fuel our country all year long. Not eight months. All year long.  The Dems will end ethanol."
00:17:31 - 00:18:33 (61 sec),"You know that. They're not going to approve ethanol. They will take it away as -- we'll try and make it, like, so they can't do it to -- but they will find a way to take it away if you give them rights. You better get out there and vote for Republicans.  We've also achieved another historic victory for Iowa farmers and ranchers, by replacing the job-killing NAFTA with an incredible brand-new U.S.-Mexico-Canada Agreement, the USMCA."
00:18:33 - 00:19:15 (42 sec),"But if Democrats take control, they will try to reverse our amazing progress and plunge our country into gridlock, frankly, into poverty, ultimately into chaos. That's what's going to happen.  And we've never had it like it's been now. We've never had it like it is now. Look at all the money you people are making."
